source_file,config_path,checkpoint,seed,source_index,source_name,task,variant_id,variant_label,decoder_type,beam_size,top_k,max_row_candidates,lambda_rule,length,runtime_seconds,total_violations,rule_violations_per_100_timesteps,parallel_fifths_per_100_timesteps,parallel_octaves_per_100_timesteps,voice_crossing_per_100_timesteps,spacing_per_100_timesteps,seventh_resolution_violation_rate,cadence_unknown_rate,claim_boundary
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,49,In allen meinen Taten,soprano_to_satb,beam_b2_k4,"Beam b=2, k=4",cih_beam,2,4,24,1.0,192,1.631907599978149,44,22.916666666666668,0.0,1.0416666666666667,0.0,0.0,0.010416666666666666,0.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,49,In allen meinen Taten,soprano_to_satb,beam_b4_k8,"Beam b=4, k=8",cih_beam,4,8,48,1.0,192,6.4218775001354516,40,20.833333333333332,0.0,1.0416666666666667,0.0,0.0,0.010416666666666666,0.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,49,In allen meinen Taten,soprano_to_satb,beam_b8_k12,"Beam b=8, k=12",cih_beam,8,12,96,1.0,192,26.96736799995415,31,16.145833333333332,0.0,1.0416666666666667,0.0,0.0,0.010416666666666666,0.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,65,"Christ, unser Herr, zum Jordan kam",soprano_to_satb,neural_argmax,Neural argmax,none,0,0,0,1.0,224,0.002059499965980649,22,9.821428571428571,1.3392857142857142,2.6785714285714284,0.0,0.0,0.0,0.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,65,"Christ, unser Herr, zum Jordan kam",soprano_to_satb,local_rule_repair,Local repair,local_rule_repair,0,0,0,1.0,224,0.01461470010690391,22,9.821428571428571,1.3392857142857142,2.6785714285714284,0.0,0.0,0.0,0.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,65,"Christ, unser Herr, zum Jordan kam",soprano_to_satb,beam_b2_k4,"Beam b=2, k=4",cih_beam,2,4,24,1.0,224,2.9700438000727445,21,9.375,0.8928571428571429,0.0,0.44642857142857145,0.0,0.0,0.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,65,"Christ, unser Herr, zum Jordan kam",soprano_to_satb,beam_b4_k8,"Beam b=4, k=8",cih_beam,4,8,48,1.0,224,7.979446199955419,20,8.928571428571429,0.8928571428571429,0.0,0.0,0.0,0.0,0.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,65,"Christ, unser Herr, zum Jordan kam",soprano_to_satb,beam_b8_k12,"Beam b=8, k=12",cih_beam,8,12,96,1.0,224,33.45256690005772,22,9.821428571428571,0.44642857142857145,0.0,0.0,0.0,0.0,0.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,97,O Haupt voll Blut und Wunden,soprano_to_satb,neural_argmax,Neural argmax,none,0,0,0,1.0,192,0.0020947998855262995,10,5.208333333333333,0.0,2.0833333333333335,0.0,0.0,0.005208333333333333,1.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,97,O Haupt voll Blut und Wunden,soprano_to_satb,local_rule_repair,Local repair,local_rule_repair,0,0,0,1.0,192,0.01180069986730814,10,5.208333333333333,0.0,2.0833333333333335,0.0,0.0,0.005208333333333333,1.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
